Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
LAIFAOUI,Algeria,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
LALAS,USA,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
ORTIGOZA,Paraguay,5,1,0,0,0,0,0,0,1,4,0,0,0.0,0.0
ORTEGA,Argentina,7,2,0,0,0,0,0,0,4,3,0,1,0.0,0.0
ORECO,Brazil,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
LAM,Angola,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
LAMBERT,England,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
ORLANDO,Brazil,9,2,0,0,0,0,0,1,7,2,0,0,0.0,0.0
LAMPARD,England,12,3,0,0,1,0,0,1,10,2,0,0,0.0,0.083
ORION,Argentina,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
LANDREAU,France,12,2,0,0,0,0,0,0,0,12,0,0,0.0,0.0
ORELLANA,Chile,8,2,0,0,0,0,0,0,0,8,0,0,0.0,0.0
LAUDRUP M.,Denmark,5,1,0,0,0,0,0,5,5,0,1,0,0.0,0.0
OLEMBE,Cameroon,3,1,0,0,1,0,0,0,2,1,0,0,0.0,0.333
OLEMB,Cameroon,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
OBID ANNAD,Iraq,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
LAZAROS,Greece,4,1,0,0,0,0,0,0,2,2,0,0,0.0,0.0
OBREGON,Ecuador,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
OBRADOVI?,Serbia,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
OBOABONA,Nigeria,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
OBIORAH,Nigeria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
OBINNA,Nigeria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
OBILALE K.,Togo,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
OBASI,Nigeria,3,1,0,0,2,0,0,0,2,1,0,0,0.0,0.667
LAZARIDIS,Australia,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
LAZOVI?,Serbia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
LCIO,Brazil,10,2,0,0,1,0,0,5,10,0,0,0,0.0,0.1
OBAID,Saudi Arabia,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
LEANDRO,Brazil,5,1,0,0,0,0,0,0,5,0,0,0,0.0,0.0
LEAO,Brazil,25,4,0,0,0,0,0,6,14,11,0,0,0.0,0.0
LEBO LEBO,Angola,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
LEBOEUF,France,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
ODDO,Italy,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
LAWRENCE,Trinidad and Tobago,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
OKUBO,Japan,7,2,0,0,0,0,0,0,6,1,0,0,0.0,0.0
OH Yun Kyo,South Korea,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
OKPARA W.,Nigeria,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
LAUREN,Cameroon,3,1,0,0,1,0,0,0,3,0,0,0,0.0,0.333
LAURSEN,Denmark,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
OKPARA G.,Nigeria,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
OKORONKWO,Nigeria,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
OKOCHA,Nigeria,7,2,0,0,0,0,0,3,4,3,0,0,0.0,0.0
OKAN,Turkey,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
OH Yoon Kyung,North Korea,4,1,0,0,0,0,0,0,3,1,0,0,0.0,0.0
LAWAL,Nigeria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
OGURO,Japan,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
OGBECHE,Nigeria,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
OGASAWARA,Japan,7,2,0,0,0,0,0,0,2,5,0,0,0.0,0.0
LAVEZZI,Argentina,7,1,0,0,0,0,0,0,4,3,0,0,0.0,0.0
ODUNLAMI,Nigeria,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
ODONKOR,Germany,7,1,0,0,2,0,0,0,0,7,0,0,0.0,0.286
ODIAH,Nigeria,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Len ALLCHURCH,Wales,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
Libor RADIMEC,Czechoslovakia,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
Len GRAHAM,Northern Ireland,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MALM,Togo,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marc HOTTIGER,Switzerland,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
Marc EMMERS,Belgium,8,2,0,0,0,0,0,0,4,4,0,0,0.0,0.0
MAHREZ,Algeria,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
Marc BAECKE,Belgium,5,1,0,0,0,0,0,0,3,2,0,0,0.0,0.0
MAJDAN,Poland,3,1,0,0,1,0,0,0,1,2,0,0,0.0,0.333
MAKELELE,France,10,2,0,0,2,0,0,0,8,2,0,0,0.0,0.2
Manuel ROJAS,Chile,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Manuel RODRIGUEZ,Chile,6,1,0,0,0,0,0,0,2,4,0,0,0.0,0.0
MAKI,Japan,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
Manuel NAJERA,Mexico,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MAKOUN,Cameroon,6,2,0,0,0,0,0,0,2,4,0,0,0.0,0.0
Manuel MUNOZ,Chile,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MALDINI,Italy,11,2,0,0,1,0,0,8,11,0,0,0,0.0,0.091
Manuel MACHUCA,Chile,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MALEK,Saudi Arabia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Manuel JIMENEZ,Spain,9,2,0,0,1,0,0,0,1,8,0,0,0.0,0.111
MALEZAS,Greece,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marc MILLECAMPS,Belgium,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MAHOUV,Cameroon,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MAHMOUD SHAKER,Iraq,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marcel CAPELLE,France,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Marcel VONLANTHEN,Switzerland,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marcel PINEL,France,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Marcel MAURON,Switzerland,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
MACHADO,Brazil,5,1,0,0,0,1,1,0,4,1,0,0,0.0,0.2
Marcel FLUECKIGER,Switzerland,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
Marcel DRIES,Belgium,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Marcel DESAILLY,France,7,1,0,0,2,1,1,0,7,0,0,0,0.0,0.429
MADSEN,Denmark,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Marc VAN DER LINDEN,Belgium,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
Marcel AUBOUR,France,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Marcel ARTELESA,France,3,1,0,0,0,0,0,3,3,0,0,0,0.0,0.0
Marc-Vivien FOE,Cameroon,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MADURO,Netherlands,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
MAGGIO,Italy,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
PALETTA,Italy,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MAGNIN,Switzerland,7,2,0,0,1,0,0,0,3,4,0,0,0.0,0.143
Manuel GUTIERREZ,Mexico,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
Manuel GAVILAN,Paraguay,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Marcelo BALBOA,USA,6,2,0,0,0,0,0,0,2,4,0,0,0.0,0.0
Manuel FERREIRA,Argentina,5,1,0,0,0,0,0,4,4,1,0,0,0.0,0.0
MANGALA,France,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
Mahdi CERBAH,Algeria,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Mahboud MUBARAK,Kuwait,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Magnus HEDMAN,Sweden,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
Magnus ERLINGMARK,Sweden,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
Magnus ANDERSSON,Sweden,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Magdy TOLBA,Egypt,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
Magdy ABDELGHANY,Egypt,3,1,0,0,1,0,0,0,3,0,1,0,0.0,0.333
Magdaleno MERCADO,Mexico,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
Maad IBRAHIM,Iraq,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MYRIE D.,Costa Rica,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MANIATIS,Greece,4,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0
MYOJIN,Japan,4,1,0,0,0,0,0,0,3,1,0,0,0.0,0.0
MANOELZINHO,Brazil,2,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0
MANOLAS,Greece,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
MYKLAND,Norway,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MUSTAFI,Germany,7,1,0,0,0,0,0,0,1,6,0,0,0.0,0.0
Mahmoud GUENDOUZ,Algeria,6,2,0,0,0,0,0,3,6,0,0,0,0.0,0.0
Maino NERI,Italy,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
Majed ABDULLAH,Saudi Arabia,4,1,0,0,0,0,0,2,2,2,0,0,0.0,0.0
Manfred ZSAK,Austria,3,1,0,0,2,0,0,0,2,1,0,0,0.0,0.667
Manuel CHORENS,Cuba,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Manuel CAMACHO,Mexico,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Manuel ASTORGA,Chile,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
MANDANDA,France,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Manuel AMOROS,France,14,2,0,0,3,0,0,0,12,2,1,0,0.0,0.214
Manuel ALVAREZ,Chile,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MANDI,Algeria,4,1,0,0,0,0,0,0,3,1,0,0,0.0,0.0
Manfred SCHAEFER,Australia,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Majid BISHKAR,Iran,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MANDJECK,Cameroon,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Manfred MANGLITZ,West Germany,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
Manfred LINZMAIER,Austria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
Manfred KALTZ,West Germany,13,2,0,0,0,0,0,1,13,0,0,0,0.0,0.0
Mana MAMBUENE,Zaire,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Mal DONAGHY,Northern Ireland,8,2,0,0,1,1,1,0,7,1,0,0,0.0,0.25
MANGA,Brazil,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
Marcelino VARGAS,Paraguay,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Marcelo DELGADO,Argentina,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MUSLERA,Uruguay,7,1,0,0,0,0,0,0,7,0,0,0,0.0,0.0
M. PONCE,Mexico,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Mario LEPE,Chile,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
M. MARTINEZ,Honduras,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario HAAS,Austria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
M. MENDEZ,Mexico,4,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0
Mario GONZALEZ,Uruguay,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario GENTA,Italy,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
M. MINAVAND,Iran,3,1,0,0,1,0,0,0,3,0,0,0,0.0,0.333
Mario GALINDO,Chile,6,2,0,0,0,0,0,0,1,5,0,0,0.0,0.0
M. NDIAYE,Senegal,5,1,0,0,0,0,0,0,2,3,0,0,0.0,0.0
M. PASHAZADEH,Iran,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
M. PEREIRA,Uruguay,4,1,0,0,0,1,1,0,2,2,0,0,0.0,0.25
M. PERNIA,Spain,4,1,0,0,0,0,0,0,3,1,0,0,0.0,0.0
Mario DE LAS CASAS,Peru,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Mario DAVID,Italy,3,1,0,0,0,1,1,0,1,2,0,0,0.0,0.333
Mario CHALDU,Argentina,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Mario CASTILLO,El Salvador,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
M. PETKOV,Bulgaria,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario MEDINA,Mexico,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M. LAYUN,Mexico,4,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0
Mario MENDEZ,Uruguay,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Mario PERAZZOLO,Italy,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
M. BROWN,Mexico,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Mario SARALEGUI,Uruguay,4,1,0,0,1,0,0,0,1,3,0,0,0.0,0.25
Mario PROSPERI,Switzerland,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario PIZZIOLO,Italy,5,1,0,0,0,0,0,0,2,3,0,0,0.0,0.0
Mario PINEDO,Bolivia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario PEREZ,Mexico,7,2,0,0,0,0,0,0,6,1,0,0,0.0,0.0
M. CACERES,Uruguay,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
Mario OSBEN,Chile,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
M. KHAKPOUR,Iran,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
M. CHAVEZ,Honduras,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario ORTIZ,Chile,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
Mario OCHOA,Mexico,5,2,0,0,0,0,0,0,2,3,0,0,0.0,0.0
Mario MORENO,Chile,6,1,0,0,0,0,0,0,1,5,0,0,0.0,0.0
Mario MONGE,El Salvador,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
M. FABIAN,Mexico,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
M. IN GUK,North Korea,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Mario BERTINI,Italy,6,1,0,0,0,0,0,0,6,0,0,0,0.0,0.0
M. RODRIGUEZ,Argentina,12,2,0,0,0,0,0,0,5,7,0,0,0.0,0.0
Marcelo GALLARDO,Argentina,5,1,0,0,0,0,0,0,1,4,0,0,0.0,0.0
Mario BERGARA,Uruguay,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
M.MAHDAVIKIA,Iran,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Marco PASCOLO,Switzerland,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
Marco GRASSI,Switzerland,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
M.NAVIDKIA,Iran,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M.NOSRATI,Iran,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
Marco ETCHEVERRY,Bolivia,3,1,0,0,0,1,1,0,0,3,0,0,0.0,0.333
Marco CORNEZ,Chile,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marco Antonio SANDY,Bolivia,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
M.REGUEIRO,Uruguay,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M.ROMERO,Uruguay,3,1,0,0,2,0,0,0,2,1,0,0,0.0,0.667
Marcial AVALOS,Paraguay,2,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0
Marcelo VEGA,Chile,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Marcelo TROBBIANI,Argentina,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
Marcelo TORRICO,Bolivia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M.SOLEIMANI,Iran,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Marcelo RAMIREZ,Chile,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Marcelo PAGANI,Argentina,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
Marco VAN BASTEN,Netherlands,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
M.MADANCHI,Iran,3,1,0,0,2,0,0,0,2,1,0,0,0.0,0.667
Marcos RIVAS,Mexico,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Marian MASNY,Czechoslovakia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
Mario BASLER,Germany,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
Mario ALBORTA,Bolivia,2,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0
Marino PERANI,Italy,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
M. SALGADO,Spain,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
Marin TUFAN,Romania,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M. SAYOUBA,Cte d'Ivoire,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
M. SILVA,Uruguay,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
M. VELOSO,Portugal,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
Marcus GAYLE,Jamaica,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
Marian IVAN,Romania,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
M. VIDRIO,Mexico,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
Marian HRISTOV,Bulgaria,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
M.AL-JAHNI,Saudi Arabia,3,1,0,0,1,0,0,0,3,0,0,0,0.0,0.333
Marek OSTROWSKI,Poland,4,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0
Marek KUSTO,Poland,20,3,0,0,0,0,0,0,0,20,0,0,0.0,0.0
Marek DZIUBA,Poland,7,1,0,0,0,0,0,0,4,3,0,0,0.0,0.0
MUSTAFA IZZET,Turkey,7,1,0,0,0,0,0,0,0,7,0,0,0.0,0.0
MANOLO,Spain,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
N. DJORDJEVIC,Serbia and Montenegro,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MILA,Poland,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MATTHUS,Germany,10,2,0,0,2,0,0,5,8,2,1,0,0.0,0.2
MINEIRO,Brazil,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MINDA,Ecuador,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MIN Byung Dae,South Korea,2,1,0,0,0,0,0,1,1,1,0,0,0.0,0.0
MILOY,Angola,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MILOSEVIC,Serbia and Montenegro,3,1,0,0,0,0,0,2,2,1,0,0,0.0,0.0
MILNER,England,7,2,0,0,1,0,0,0,4,3,0,0,0.0,0.143
MILLS,England,5,1,0,0,1,0,0,0,5,0,0,0,0.0,0.2
MATYSEK,Poland,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MILLIGAN,Australia,10,3,0,0,1,0,0,0,1,9,0,0,0.0,0.1
MILLER R.,Costa Rica,5,1,0,0,0,0,0,0,1,4,0,0,0.0,0.0
MAURINHO,Brazil,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MAURO GALVAO,Brazil,9,2,0,0,1,0,0,0,4,5,0,0,0.0,0.111
MILITO,Argentina,5,1,0,0,0,0,0,0,1,4,0,0,0.0,0.0
MAURO RAMOS,Brazil,15,3,0,0,0,0,0,6,6,9,0,0,0.0,0.0
MILINOVIC,Slovenia,3,1,0,0,2,0,0,0,3,0,0,0,0.0,0.667
MILIJA,Serbia,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MINI,Norway,7,2,0,0,0,0,0,0,1,6,0,0,0.0,0.0
MINSOO,South Korea,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
MIRALLAS,Belgium,5,1,0,0,0,0,0,0,2,3,0,0,0.0,0.0
MKADMI,Tunisia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MODRIC,Croatia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MODRI?,Croatia,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MODISE,South Africa,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MOACIR,Brazil,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
MNGUNI,South Africa,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MNGOMENI,South Africa,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MKHALELE,South Africa,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MKACHER,Tunisia,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MIRANDINHA,Brazil,7,1,0,0,1,0,0,0,1,6,0,0,0.0,0.143
MJALLBY,Sweden,4,1,0,0,1,0,0,4,4,0,0,0,0.0,0.25
MATMOUR,Algeria,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MATSUDA,Japan,4,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0
MIYAMOTO,Japan,7,2,0,0,3,0,0,5,5,2,0,0,0.0,0.429
MITROGLOU,Greece,4,1,0,0,0,0,0,0,1,3,0,0,0.0,0.0
MATSUI,Japan,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
MISIMOVI?,Bosnia and Herzegovina,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MILEVSKYI,Ukraine,5,1,0,0,1,0,0,0,1,4,0,0,0.0,0.2
MIKEL,Nigeria,4,1,0,0,1,0,0,0,4,0,0,0,0.0,0.25
MOHAMED HARIS,Iraq,3,1,0,0,1,0,0,0,2,1,0,0,0.0,0.333
MIGUELI,Spain,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MESEN,Costa Rica,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MEDEL,Chile,8,2,0,0,2,0,0,0,7,1,0,0,0.0,0.25
MESBAH,Algeria,7,2,0,0,1,0,0,0,2,5,0,0,0.0,0.143
MEDFORD,Costa Rica,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MEDJANI,Algeria,7,2,0,0,0,0,0,0,3,4,0,0,0.0,0.0
MERTESACKER,Germany,21,3,0,0,0,0,0,0,17,4,0,0,0.0,0.0
MEDUNJANIN,Bosnia and Herzegovina,3,1,0,0,1,0,0,0,1,2,0,0,0.0,0.333
MEHRDAD,Iran,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MEITE,Cte d'Ivoire,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MEOLA,USA,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MELKI,Tunisia,2,1,0,0,1,0,0,0,1,1,0,0,0.0,0.5
MENSAH,Ghana,9,2,0,0,2,0,0,4,8,1,0,0,0.0,0.222
MELLBERG,Sweden,8,2,0,0,0,0,0,4,8,0,0,0,0.0,0.0
MENGALVIO,Brazil,6,1,0,0,0,0,0,0,0,6,0,0,0.0,0.0
MENDOZA,Honduras,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MENDONCA,Angola,3,1,0,0,1,0,0,0,3,0,0,0,0.0,0.333
MELLITI,Tunisia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MESEN A.,Costa Rica,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MCKAY,Australia,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
METTOMO,Cameroon,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MAXWELL,Brazil,7,1,0,0,0,0,0,0,1,6,0,0,0.0,0.0
MAURO SILVA,Brazil,7,1,0,0,1,0,0,0,7,0,0,0,0.0,0.143
MIGUEL ANGEL,Spain,8,2,0,0,0,0,0,0,3,5,0,0,0.0,0.0
MAVRI?,Slovenia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MIGUEL,Portugal,14,3,0,0,1,0,0,0,10,4,0,0,0.0,0.071
MIGNOLET,Belgium,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MICOUD,France,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MAVUBA,France,5,1,0,0,0,0,0,0,0,5,0,0,0.0,0.0
MAZINHO,Brazil,11,2,0,0,2,0,0,0,4,7,0,0,0.0,0.182
MCGOWAN,Australia,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MBIA,Cameroon,6,2,0,0,3,0,0,0,6,0,0,0,0.0,0.5
MICHAELSEN,Denmark,4,1,0,0,0,0,0,0,0,4,0,0,0.0,0.0
MBOLHI,Algeria,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MC GLINCHEY,New Zealand,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MHADHEBI,Tunisia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MCATEER,Ireland,4,1,0,0,1,0,0,0,1,3,0,0,0.0,0.25
METZELDER,Germany,14,2,0,0,2,0,0,0,13,1,0,0,0.0,0.143
MOGILEVETC,Russia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MOHAMED ISMAIL,Iraq,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
MURAWSKI,Poland,3,1,0,0,0,0,0,0,1,2,0,0,0.0,0.0
MARIO COLUNA,Portugal,6,1,0,0,1,0,0,6,6,0,0,0,0.0,0.167
MARCHETTI,Italy,3,1,0,0,0,0,0,0,2,1,0,0,0.0,0.0
MOUKANDJO,Cameroon,3,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0
MOSTOVOY,Russia,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
