Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
Kennet ANDERSSON,Sweden,7,1,5,0,2,0,0,0,6,1,0,0,0.714,0.286
MESSI,Argentina,17,3,5,0,0,0,0,8,13,4,0,0,0.294,0.0
Drazen JERKOVIC,Yugoslavia,10,2,4,0,0,0,0,0,6,4,0,0,0.4,0.0
FORLAN,Uruguay,7,1,4,0,0,0,0,1,7,0,1,0,0.571,0.0
Emilio BUTRAGUENO,Spain,9,2,4,0,0,0,0,4,9,0,1,0,0.444,0.0
Edmund CONEN,Germany,4,1,4,0,0,0,0,0,4,0,0,0,1.0,0.0
Anatoly BISHOVETS,Soviet Union,4,1,4,0,1,0,0,0,4,0,0,0,1.0,0.25
Bert PATENAUDE,USA,3,1,4,0,0,0,0,0,3,0,0,0,1.333,0.0
Nandor HIDEGKUTI,Hungary,9,2,4,0,0,0,0,2,6,3,0,0,0.444,0.0
Rene HOUSEMAN,Argentina,13,2,4,0,1,0,0,0,6,7,0,0,0.308,0.077
Oleg SALENKO,Russia,3,1,4,0,0,0,0,0,2,1,2,0,1.333,0.0
Jan CEULEMANS,Belgium,16,3,4,0,1,0,0,10,14,2,0,0,0.25,0.062
Ferenc BENE,Hungary,4,1,4,0,0,0,0,0,4,0,0,0,1.0,0.0
BAGGIO R.,Italy,7,1,4,0,0,0,0,0,7,0,1,0,0.571,0.0
Zdenek ZIKAN,Czechoslovakia,4,1,4,0,0,0,0,0,3,1,0,0,1.0,0.0
DEMPSEY,USA,11,3,4,0,0,0,0,4,10,1,0,0,0.364,0.0
Lothar MATTHAEUS,West Germany,21,3,4,0,3,0,0,7,14,7,1,0,0.19,0.143
Ferenc PUSKAS,Hungary,8,2,4,0,0,0,0,3,6,2,0,0,0.5,0.0
Dominique ROCHETEAU,France,17,3,4,0,1,0,0,0,8,9,0,0,0.235,0.059
Carlos BORGES,Uruguay,5,1,4,0,0,0,0,0,5,0,0,0,0.8,0.0
Preben ELKJAER LARSEN,Denmark,4,1,4,0,0,0,0,0,4,0,0,0,1.0,0.0
PAULETA,Portugal,10,2,4,0,1,0,0,1,9,1,0,0,0.4,0.1
