Day_of_Week,Matches,Avg_Attendance,Avg_Goals,Home_Win_Rate
Friday,84,47731.27380952381,2.3095238095238093,51.19047619047619
Monday,73,46211.479452054795,2.506849315068493,63.013698630136986
Saturday,140,48175.12857142857,2.7642857142857142,57.14285714285714
Sunday,187,44474.754010695186,3.443850267379679,67.37967914438502
Thursday,103,39044.18446601942,2.6407766990291264,51.45631067961165
Tuesday,109,45369.23853211009,2.743119266055046,48.62385321100918
Wednesday,140,43596.33571428571,2.857142857142857,55.714285714285715
