Time_Block,Matches,Avg_Attendance,Avg_Goals
Morning,1,73425.0,2.0
Afternoon,144,50734.944444444445,2.7083333333333335
Evening,375,42128.573333333334,2.888
Night,316,45370.17405063291,2.8607594936708862
